RUN	uk.gov.hmcts.reform.LandA.performance.simulations.mainSimulation	mainsimulation	1642779800222	XUI Journeys for all Services	3.1.1
USER	Complete	1	START	1642779801782	1642779801782
REQUEST	1		CSRF check	1642779801807	1642779801937	OK	 
REQUEST	1		CCDlogin	1642779802039	1642779802598	OK	 
REQUEST	1		CCDlogin Redirect 1	1642779802607	1642779803112	OK	 
REQUEST	1		CCDlogin Redirect 2	1642779803117	1642779803202	OK	 
REQUEST	1		CCD Search	1642779808137	1642779814333	OK	 
REQUEST	1		CCD Search Redirect 1	1642779814336	1642779814442	OK	 
REQUEST	1		CCD Second Page Click	1642779816436	1642779817704	OK	 
REQUEST	1		CCD Second Page Click Redirect 1	1642779817706	1642779817800	OK	 
REQUEST	1		CCD CSV Download	1642779820796	1642779825917	OK	 
USER	Complete	1	END	1642779801782	1642779826023
